population,foreign_born,median_income,year,state_fips,county_fips,black_afam,unemp_rate,snap_benefits,health_insurance_rate,vacant_housing_rate,rental_vacancy_rate,renter_occupied_rate,median_home_price,median_rent,disaster_number,state,declaration_date,incident_type,disaster_name,incident_begin_date,incident_end_date,total_approved_ihp,total_approved_ha,total_approved_ona,total_obligated_pa,total_obligated_c2g,total_obligated_hmgp,aid_requested,aid_obligated,total_approved,total_obligated,aid_per_capita
217937,5.8315017642713265,27582.0,2017,45,015,23.9,3.1,9.8,89.5,9.5,3.3,32.3,184500,1019,4286.0,SC,2016-10-11T14:30:00.000Z,Hurricane,HURRICANE MATTHEW,2016-10-04T12:00:01.000Z,2016-10-30T00:00:00.000Z,39700862.51,32647472.31,7053390.2,246757916.47,73749820.81,27904049.27,104962.65,93055.98999999999,79401725.02,348411786.54999995,0.48161922941033414
217937,5.8315017642713265,27582.0,2017,45,015,23.9,3.1,9.8,89.5,9.5,3.3,32.3,184500,1019,4286.0,SC,2016-10-11T14:30:00.000Z,Hurricane,HURRICANE MATTHEW,2016-10-04T12:00:01.000Z,2016-10-30T00:00:00.000Z,39700862.51,32647472.31,7053390.2,246757916.47,73749820.81,27904049.27,93513298.7,93513298.7,79401725.02,348411786.54999995,429.08408714445
401438,5.601612204126166,31628.0,2017,45,019,26.8,2.1,6.9,87.7,15.6,9.1,40.1,330300,1139,3378.0,SC,2016-10-06T18:00:00.000Z,Hurricane,HURRICANE MATTHEW,2016-10-04T12:00:00.000Z,2016-10-30T23:59:00.000Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
401438,5.601612204126166,31628.0,2017,45,019,26.8,2.1,6.9,87.7,15.6,9.1,40.1,330300,1139,3378.0,SC,2016-10-06T18:00:00.000Z,Hurricane,HURRICANE MATTHEW,2016-10-04T12:00:00.000Z,2016-10-30T23:59:00.000Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
401438,5.601612204126166,31628.0,2017,45,019,26.8,2.1,6.9,87.7,15.6,9.1,40.1,330300,1139,3378.0,SC,2016-10-06T18:00:00.000Z,Hurricane,HURRICANE MATTHEW,2016-10-04T12:00:00.000Z,2016-10-30T23:59:00.000Z,0.0,0.0,0.0,0.0,0.0,0.0,104054720.13,104054720.13,0.0,0.0,259.20495849919536
401438,5.601612204126166,31628.0,2017,45,019,26.8,2.1,6.9,87.7,15.6,9.1,40.1,330300,1139,3378.0,SC,2016-10-06T18:00:00.000Z,Hurricane,HURRICANE MATTHEW,2016-10-04T12:00:00.000Z,2016-10-30T23:59:00.000Z,0.0,0.0,0.0,0.0,0.0,0.0,32425000.0,32425000.0,0.0,0.0,80.77212421345264
401438,5.601612204126166,31628.0,2017,45,019,26.8,2.1,6.9,87.7,15.6,9.1,40.1,330300,1139,3386.0,SC,2017-09-07T15:00:00.000Z,Hurricane,HURRICANE IRMA,2017-09-06T09:00:00.000Z,2017-09-13T23:59:00.000Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
401438,5.601612204126166,31628.0,2017,45,019,26.8,2.1,6.9,87.7,15.6,9.1,40.1,330300,1139,3386.0,SC,2017-09-07T15:00:00.000Z,Hurricane,HURRICANE IRMA,2017-09-06T09:00:00.000Z,2017-09-13T23:59:00.000Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
401438,5.601612204126166,31628.0,2017,45,019,26.8,2.1,6.9,87.7,15.6,9.1,40.1,330300,1139,3386.0,SC,2017-09-07T15:00:00.000Z,Hurricane,HURRICANE IRMA,2017-09-06T09:00:00.000Z,2017-09-13T23:59:00.000Z,0.0,0.0,0.0,0.0,0.0,0.0,104054720.13,104054720.13,0.0,0.0,259.20495849919536
401438,5.601612204126166,31628.0,2017,45,019,26.8,2.1,6.9,87.7,15.6,9.1,40.1,330300,1139,3386.0,SC,2017-09-07T15:00:00.000Z,Hurricane,HURRICANE IRMA,2017-09-06T09:00:00.000Z,2017-09-13T23:59:00.000Z,0.0,0.0,0.0,0.0,0.0,0.0,32425000.0,32425000.0,0.0,0.0,80.77212421345264
401438,5.601612204126166,31628.0,2017,45,019,26.8,2.1,6.9,87.7,15.6,9.1,40.1,330300,1139,4286.0,SC,2016-10-11T14:30:00.000Z,Hurricane,HURRICANE MATTHEW,2016-10-04T12:00:01.000Z,2016-10-30T00:00:00.000Z,39700862.51,32647472.31,7053390.2,246757916.47,73749820.81,27904049.27,0.0,0.0,79401725.02,348411786.54999995,0.0
